house_id,purchase_price,%_change_between_offer_and_purchase,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
16,6500000,-3,3.1,,
13,3400000,0,3.1,,
60,4550000,-4,3.1,,
29,1630000,-12,3.1,,
92,1975000,-10,3.1,,
82,1850000,0,3.1,,
100,360000,0,3.1,,
125,700000,0,3.1,,
150,500000,0,3.1,,
177,850000,-13,3.1,,
196,300000,0,3.1,,
204,2000000,-13,3.1,,
195,1870000,-1,3.1,,
228,3350000,-9,3.1,,
213,325000,0,3.1,,
240,1750000,-8,3.1,,
239,2700000,0,3.1,,
291,2525000,21,3.1,,
297,1495000,0,3.1,,
309,1940000,-3,3.1,,
384,1825000,0,3.1,,
354,995000,0,3.1,,
370,4995000,0,3.1,,
391,1370000,0,3.1,,
402,1250000,-3,3.1,,
460,700000,0,3.1,,
407,950000,0,3.1,,
468,6500000,0,3.1,,
428,2400000,0,3.1,,
419,310000,0,3.1,,
469,4675000,0,3.1,,
454,719200,0,3.1,,
405,10800000,-2,3.1,,
550,915000,-3,3.1,,
505,1725000,-4,3.1,,
557,3820000,-4,3.1,,
571,8000000,0,3.1,,
575,3600000,-4,3.1,,
560,500000,-37,3.1,,
612,1700000,-15,3.1,,
589,4900000,-7,3.1,,
611,1105000,0,3.1,,
726,3500000,0,3.1,,
710,3200000,-8,3.1,,
705,1003850,0,3.1,,
734,1925000,0,3.1,,
768,1500000,0,3.1,,
806,1695000,0,3.1,,
731,6550000,0,3.1,,
831,2125000,0,3.1,,
817,2100000,-7,3.1,,
904,2300000,0,3.1,,
882,1570000,-2,3.1,,
926,1800000,0,3.1,,
881,7000000,-18,3.1,,
886,1500000,-6,3.1,,
889,1250000,-3,3.1,,
874,650000,0,3.1,,
879,950000,-14,3.1,,
1053,461500,4,3.1,,
1064,3600000,-5,3.1,,
1008,380200,0,3.1,,
1027,2900000,-9,3.1,,
1038,19500000,0,3.1,,
967,2267500,-1,3.1,,
1056,2400000,-4,3.1,,
1036,1500000,-3,3.1,,
981,2835000,-5,3.1,,
1044,1275000,0,3.1,,
1129,445000,-10,3.1,,
1175,1650000,0,3.1,,
1154,1150000,0,3.1,,
1116,500000,-22,3.1,,
1158,750000,0,3.1,,
1179,1755000,0,3.1,,
1092,544000,0,3.1,,
1174,4200000,0,3.1,,
1326,2470000,-5,3.35,1.13,4.34
1265,1120000,-2,3.35,1.13,4.34
1345,725000,0,3.35,1.13,4.34
1233,1475000,-8,3.35,1.13,4.34
1229,1775000,-13,3.35,1.13,4.34
1286,1075000,0,3.35,1.13,4.34
1219,3600000,-17,3.35,1.13,4.34
1212,3250000,0,3.35,1.13,4.34
1300,1765000,0,3.35,1.13,4.34
1227,875000,0,3.35,1.13,4.34
1259,1300000,-7,3.35,1.13,4.34
1282,1105000,0,3.35,1.13,4.34
1339,410000,0,3.35,1.13,4.34
1336,1525000,0,3.35,1.13,4.34
1512,6900000,0,3.35,1.13,4.34
1547,800000,0,3.35,1.13,4.34
1510,1250000,0,3.35,1.13,4.34
1387,1590000,-16,3.35,1.13,4.34
1397,1195000,0,3.35,1.13,4.34
1538,537200,0,3.35,1.13,4.34
1470,1485000,-2,3.35,1.13,4.34
1522,1270000,0,3.35,1.13,4.34
1515,1650000,0,3.35,1.13,4.34
1502,9404500,0,3.35,1.13,4.34
1584,1450000,0,3.35,1.13,4.34
1577,1300000,-7,3.35,1.13,4.34
1589,2895000,-8,3.35,1.13,4.34
1649,875000,-8,3.35,1.13,4.34
1714,280000,0,3.35,1.13,4.34
1722,2795000,0,3.35,1.13,4.34
1750,750000,0,3.35,1.13,4.34
1667,755000,0,3.35,1.13,4.34
1691,2850000,-5,3.35,1.13,4.34
1730,2400000,-4,3.35,1.13,4.34
1751,3000000,-6,3.35,1.13,4.34
1746,3045000,-2,3.35,1.13,4.34
1753,3100000,0,3.35,1.13,4.34
1723,1130000,-6,3.35,1.13,4.34
1752,3750000,-1,3.35,1.13,4.34
1824,3600000,-3,3.35,1.13,4.34
1777,2000000,-5,3.35,1.13,4.34
1830,1450000,-3,3.35,1.13,4.34
1859,3100000,-3,3.35,1.13,4.34
1878,1895000,0,3.35,1.13,4.34
1774,2500000,0,3.35,1.13,4.34
1889,1150000,-11,3.35,1.13,4.34
1863,1000000,0,3.35,1.13,4.34
1983,1100000,0,3.35,1.13,4.34
1966,525000,0,3.35,1.13,4.34
2022,1100000,0,3.35,1.13,4.34
1964,875000,-12,3.35,1.13,4.34
1944,1720000,-8,3.35,1.13,4.34
2021,1125000,-17,3.35,1.13,4.34
2073,2425000,-1,3.35,1.13,4.34
2058,515000,6,3.35,1.13,4.34
2099,2000000,-5,3.35,1.13,4.34
2056,3775000,0,3.35,1.13,4.34
2081,3200000,-1,3.35,1.13,4.34
2102,1550000,0,3.35,1.13,4.34
2140,1625000,-8,3.35,1.13,4.34
2139,1500000,-12,3.35,1.13,4.34
40319,6800000,-3,3.35,1.13,4.34
